effective_time,spl_product_data_elements,active_ingredient,route,brand_name,substance_name,Time,Year,num_substance
20200511,['Hand Sanitizer Alcohol ALOE VERA LEAF CARBOMER 980 GLYCERIN WATER ALCOHOL ALCOHOL D&C RED NO. 33'],['Hand Sanitizer Alcohol ALOE VERA LEAF CARBOMER 980 GLYCERIN WATER ALCOHOL ALCOHOL D&C RED NO. 33'],['TOPICAL'],['Hand Sanitizer'],['ALCOHOL'],2020-05-11,2020,1
20200804,"['Germ Out Hand Sanitizer Ethyl Alcohol WATER TROLAMINE CARBOMER HOMOPOLYMER, UNSPECIFIED TYPE PROPYLENE GLYCOL GLYCERIN ALOE VERA LEAF ALPHA-TOCOPHEROL ALCOHOL ALCOHOL']","['Germ Out Hand Sanitizer Ethyl Alcohol WATER TROLAMINE CARBOMER HOMOPOLYMER, UNSPECIFIED TYPE PROPYLENE GLYCOL GLYCERIN ALOE VERA LEAF ALPHA-TOCOPHEROL ALCOHOL ALCOHOL']",['TOPICAL'],['Germ Out Hand Sanitizer'],['ALCOHOL'],2020-08-04,2020,1
20200807,"['Hydrochlorothiazide Hydrochlorothiazide DIBASIC CALCIUM PHOSPHATE DIHYDRATE FD&C YELLOW NO. 6 LACTOSE MONOHYDRATE MAGNESIUM STEARATE SODIUM STARCH GLYCOLATE TYPE A POTATO STARCH, CORN HYDROCHLOROTHIAZIDE HYDROCHLOROTHIAZIDE HP;47 Hydrochlorothiazide Hydrochlorothiazide DIBASIC CALCIUM PHOSPHATE DIHYDRATE LACTOSE MONOHYDRATE MAGNESIUM STEARATE SODIUM STARCH GLYCOLATE TYPE A POTATO STARCH, CORN HYDROCHLOROTHIAZIDE HYDROCHLOROTHIAZIDE (WHITE TO OFF WHITE) HP;46 Hydrochlorothiazide Hydrochlorothiazide DIBASIC CALCIUM PHOSPHATE DIHYDRATE FD&C YELLOW NO. 6 LACTOSE MONOHYDRATE MAGNESIUM STEARATE SODIUM STARCH GLYCOLATE TYPE A POTATO STARCH, CORN HYDROCHLOROTHIAZIDE HYDROCHLOROTHIAZIDE I;27']",None,,,,2020-08-07,2020,0
20200808,"['Hand sanitizer Hand sanitizer CARBOMER HOMOPOLYMER, UNSPECIFIED TYPE ALCOHOL ALCOHOL GLYCERIN TROLAMINE PHENOXYETHANOL WATER']","['Hand sanitizer Hand sanitizer CARBOMER HOMOPOLYMER, UNSPECIFIED TYPE ALCOHOL ALCOHOL GLYCERIN TROLAMINE PHENOXYETHANOL WATER']",['TOPICAL'],['Hand sanitizer'],['ALCOHOL'],2020-08-08,2020,1
20200811,"['Camo CC Cream SPF30 Rich 640 W OCTINOXATE, TITANIUM DIOXIDE, ZINC OXIDE WATER DIMETHICONE CYCLOMETHICONE 5 BUTYLENE GLYCOL PHENYL TRIMETHICONE BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE BUTYLOCTYL SALICYLATE POLYGLYCERYL-4 ISOSTEARATE CYCLOMETHICONE 6 HEXYL LAURATE MAGNESIUM SULFATE, UNSPECIFIED FORM PHENOXYETHANOL TRIETHOXYCAPRYLYLSILANE DISTEARDIMONIUM HECTORITE HYDRATED SILICA ALUMINUM HYDROXIDE PROPYLENE CARBONATE CAPRYLYL GLYCOL ETHYLHEXYLGLYCERIN EDETATE DISODIUM ANHYDROUS .ALPHA.-TOCOPHEROL ACETATE HYALURONATE SODIUM NIACINAMIDE PANTHENOL ASCORBYL PALMITATE CANOLA OIL GLYCERIN CARROT SEED OIL CARBOMER HOMOPOLYMER, UNSPECIFIED TYPE CARROT SUNFLOWER OIL BETA CAROTENE PALMITOYL TRIPEPTIDE-1 PALMITOYL TETRAPEPTIDE-7 1,2-HEXANEDIOL FERRIC OXIDE YELLOW FERRIC OXIDE RED FERROSOFERRIC OXIDE OCTINOXATE OCTINOXATE TITANIUM DIOXIDE TITANIUM DIOXIDE ZINC OXIDE ZINC CATION']","['Camo CC Cream SPF30 Rich 640 W OCTINOXATE, TITANIUM DIOXIDE, ZINC OXIDE WATER DIMETHICONE CYCLOMETHICONE 5 BUTYLENE GLYCOL PHENYL TRIMETHICONE BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE BUTYLOCTYL SALICYLATE POLYGLYCERYL-4 ISOSTEARATE CYCLOMETHICONE 6 HEXYL LAURATE MAGNESIUM SULFATE, UNSPECIFIED FORM PHENOXYETHANOL TRIETHOXYCAPRYLYLSILANE DISTEARDIMONIUM HECTORITE HYDRATED SILICA ALUMINUM HYDROXIDE PROPYLENE CARBONATE CAPRYLYL GLYCOL ETHYLHEXYLGLYCERIN EDETATE DISODIUM ANHYDROUS .ALPHA.-TOCOPHEROL ACETATE HYALURONATE SODIUM NIACINAMIDE PANTHENOL ASCORBYL PALMITATE CANOLA OIL GLYCERIN CARROT SEED OIL CARBOMER HOMOPOLYMER, UNSPECIFIED TYPE CARROT SUNFLOWER OIL BETA CAROTENE PALMITOYL TRIPEPTIDE-1 PALMITOYL TETRAPEPTIDE-7 1,2-HEXANEDIOL FERRIC OXIDE YELLOW FERRIC OXIDE RED FERROSOFERRIC OXIDE OCTINOXATE OCTINOXATE TITANIUM DIOXIDE TITANIUM DIOXIDE ZINC OXIDE ZINC CATION']",['TOPICAL'],['Camo CC Cream SPF30 Rich 640 W'],"['OCTINOXATE', 'TITANIUM DIOXIDE', 'ZINC OXIDE']",2020-08-11,2020,3
20200812,"['G3Tech Disinfectant Disinfectant DECYL GLUCOSIDE GLYCERIN WATER BENZALKONIUM CHLORIDE BENZALKONIUM LAVENDER OIL HYPROMELLOSE, UNSPECIFIED CURCUMIN WHITE PINE OIL']","['G3Tech Disinfectant Disinfectant DECYL GLUCOSIDE GLYCERIN WATER BENZALKONIUM CHLORIDE BENZALKONIUM LAVENDER OIL HYPROMELLOSE, UNSPECIFIED CURCUMIN WHITE PINE OIL']",['TOPICAL'],['G3Tech Disinfectant'],['BENZALKONIUM CHLORIDE'],2020-08-12,2020,1
20200814,['Sani-Ultra Wipes 70% Isopropyl Alcohol WATER ISOPROPYL ALCOHOL ISOPROPYL ALCOHOL'],['Sani-Ultra Wipes 70% Isopropyl Alcohol WATER ISOPROPYL ALCOHOL ISOPROPYL ALCOHOL'],['TOPICAL'],['Sani-Ultra Wipes'],['ISOPROPYL ALCOHOL'],2020-08-14,2020,1
20200817,"['Mary Kay TimeWise Miracle Set 3D Sampler (Normal to Dry Skin) Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone TimeWise Age Minimize 3D Day Cream SPF 30 Broad Spectrum Sunscreen (Normal to Dry Skin) Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone WATER GLYCERIN DICAPRYLYL CARBONATE CETOSTEARYL ALCOHOL DIMETHICONE AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER CETEARETH-25 NIACINAMIDE SACCHAROMYCES CEREVISIAE PRICKLY PEAR FRUIT .ALPHA.-TOCOPHEROL ACETATE LEVOMENOL RESVERATROL DOCOSANOL JOJOBA OIL, RANDOMIZED SUCROSE PALMITATE DISODIUM ETHYLENE DICOCAMIDE PEG-15 DISULFATE SILICON DIOXIDE HYDROXYPROPYL .ALPHA.-CYCLODEXTRIN GLYCERYL MONOLINOLEATE DIETHYLENE GLYCOL MONOETHYL ETHER METHYL DIHYDROJASMONATE (SYNTHETIC) ETHYLENE BRASSYLATE TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES ETHYL LINALOOL 2-ISOBUTYL-4-METHYLTETRAHYDROPYRAN-4-OL 3-(3,4-METHYLENEDIOXYPHENYL)-2-METHYLPROPANAL PHENYLISOHEXANOL TRIMETHYLBENZENEPROPANOL METHYL BENZODIOXEPINONE TROLAMINE EDETATE DISODIUM SODIUM BENZOATE ETHYLHEXYLGLYCERIN CAPRYLHYDROXAMIC ACID CAPRYLYL GLYCOL PROPANEDIOL PHENOXYETHANOL IODOPROPYNYL BUTYLCARBAMATE AVOBENZONE AVOBENZONE HOMOSALATE HOMOSALATE OCTISALATE OCTISALATE OCTOCRYLENE OCTOCRYLENE OXYBENZONE OXYBENZONE TimeWise Age Minimize 3D 4-in-1 Cleanser (Normal to Dry Skin) WATER CETOSTEARYL ALCOHOL SODIUM STEAROYL GLUTAMATE SODIUM COCOYL GLUTAMATE COCAMIDOPROPYL BETAINE BUTYL ACRYLATE/METHYL METHACRYLATE/METHACRYLIC ACID COPOLYMER (18000 MW) PROPANEDIOL PPG-2 HYDROXYETHYL COCO/ISOSTEARAMIDE GLYCERIN STARCH, CORN SODIUM LAURETH SULFATE POTASSIUM HYDROXIDE MAGNESIUM ALUMINUM SILICATE COCO GLUCOSIDE CARNAUBA WAX RESVERATROL JOJOBA OIL, RANDOMIZED NIACINAMIDE SUCROSE PALMITATE .ALPHA.-TOCOPHEROL ACETATE HYPROMELLOSE, UNSPECIFIED POWDERED CELLULOSE HYDROXYPROPYL .ALPHA.-CYCLODEXTRIN LACTOSE, UNSPECIFIED FORM CITRIC ACID MONOHYDRATE SODIUM CHLORIDE GLYCERYL MONOLINOLEATE DIETHYLENE GLYCOL MONOETHYL ETHER METHYL DIHYDROJASMONATE (SYNTHETIC) ETHYLENE BRASSYLATE TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES ETHYL LINALOOL 2-ISOBUTYL-4-METHYLTETRAHYDROPYRAN-4-OL 3-(3,4-METHYLENEDIOXYPHENYL)-2-METHYLPROPANAL PHENYLISOHEXANOL TRIMETHYLBENZENEPROPANOL METHYL BENZODIOXEPINONE EDETATE DISODIUM IODOPROPYNYL BUTYLCARBAMATE MAGNESIUM CHLORIDE MAGNESIUM NITRATE METHYLISOTHIAZOLINONE METHYLCHLOROISOTHIAZOLINONE TALC D&C RED NO. 7 D&C RED NO. 30 ULTRAMARINE BLUE TITANIUM DIOXIDE TimeWise Age Minimize 3D Night Cream (Normal to Dry Skin) WATER DIMETHICONE GLYCERIN ALUMINUM STARCH OCTENYLSUCCINATE MEDIUM-CHAIN TRIGLYCERIDES CETOSTEARYL ALCOHOL GLYCERYL MONOSTEARATE CETEARETH-33 NIACINAMIDE AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER RESVERATROL SODIUM ACRYLOYLDIMETHYLTAURATE-ACRYLAMIDE COPOLYMER (1:1; 90000-150000 MPA.S) ISOHEXADECANE BUTYLENE GLYCOL GLYCYRRHIZINATE DIPOTASSIUM JOJOBA OIL, RANDOMIZED .ALPHA.-TOCOPHEROL ACETATE ISOPROPYL PALMITATE SUCROSE PALMITATE DIMETHICONOL (100000 CST) CYCLOMETHICONE 5 CYCLOMETHICONE 6 POLYSORBATE 80 HYDROXYPROPYL .ALPHA.-CYCLODEXTRIN GLYCERYL MONOLINOLEATE DIETHYLENE GLYCOL MONOETHYL ETHER METHYL DIHYDROJASMONATE (SYNTHETIC) ETHYLENE BRASSYLATE TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES ETHYL LINALOOL 2-ISOBUTYL-4-METHYLTETRAHYDROPYRAN-4-OL 3-(3,4-METHYLENEDIOXYPHENYL)-2-METHYLPROPANAL PHENYLISOHEXANOL TRIMETHYLBENZENEPROPANOL METHYL BENZODIOXEPINONE TROLAMINE EDETATE DISODIUM HYDROXYACETOPHENONE ETHYLHEXYLGLYCERIN PHENOXYETHANOL IODOPROPYNYL BUTYLCARBAMATE TimeWise Age Minimize 3D Eye Cream WATER CETYL ALCOHOL GLYCERIN ALKYL (C12-15) BENZOATE STEARIC ACID GLYCERYL MONOSTEARATE PEG-100 STEARATE 1,2-HEXANEDIOL NIACINAMIDE FUCUS VESICULOSUS PANTHENOL RESVERATROL .ALPHA.-TOCOPHEROL ACETATE GLYCYRRHIZINATE DIPOTASSIUM XANTHAN GUM HEXYLENE GLYCOL DIMETHICONE POLY(METHYL METHACRYLATE; 450000 MW) TRICAPRYLIN ETHYLHEXYL PALMITATE SILICON DIOXIDE HYDROXYPROPYL .ALPHA.-CYCLODEXTRIN TROLAMINE EDETATE DISODIUM BENZYL ALCOHOL CAPRYLYL GLYCOL IODOPROPYNYL BUTYLCARBAMATE MICA TITANIUM DIOXIDE']","['Mary Kay TimeWise Miracle Set 3D Sampler (Normal to Dry Skin) Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone TimeWise Age Minimize 3D Day Cream SPF 30 Broad Spectrum Sunscreen (Normal to Dry Skin) Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone WATER GLYCERIN DICAPRYLYL CARBONATE CETOSTEARYL ALCOHOL DIMETHICONE AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER CETEARETH-25 NIACINAMIDE SACCHAROMYCES CEREVISIAE PRICKLY PEAR FRUIT .ALPHA.-TOCOPHEROL ACETATE LEVOMENOL RESVERATROL DOCOSANOL JOJOBA OIL, RANDOMIZED SUCROSE PALMITATE DISODIUM ETHYLENE DICOCAMIDE PEG-15 DISULFATE SILICON DIOXIDE HYDROXYPROPYL .ALPHA.-CYCLODEXTRIN GLYCERYL MONOLINOLEATE DIETHYLENE GLYCOL MONOETHYL ETHER METHYL DIHYDROJASMONATE (SYNTHETIC) ETHYLENE BRASSYLATE TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES ETHYL LINALOOL 2-ISOBUTYL-4-METHYLTETRAHYDROPYRAN-4-OL 3-(3,4-METHYLENEDIOXYPHENYL)-2-METHYLPROPANAL PHENYLISOHEXANOL TRIMETHYLBENZENEPROPANOL METHYL BENZODIOXEPINONE TROLAMINE EDETATE DISODIUM SODIUM BENZOATE ETHYLHEXYLGLYCERIN CAPRYLHYDROXAMIC ACID CAPRYLYL GLYCOL PROPANEDIOL PHENOXYETHANOL IODOPROPYNYL BUTYLCARBAMATE AVOBENZONE AVOBENZONE HOMOSALATE HOMOSALATE OCTISALATE OCTISALATE OCTOCRYLENE OCTOCRYLENE OXYBENZONE OXYBENZONE TimeWise Age Minimize 3D 4-in-1 Cleanser (Normal to Dry Skin) WATER CETOSTEARYL ALCOHOL SODIUM STEAROYL GLUTAMATE SODIUM COCOYL GLUTAMATE COCAMIDOPROPYL BETAINE BUTYL ACRYLATE/METHYL METHACRYLATE/METHACRYLIC ACID COPOLYMER (18000 MW) PROPANEDIOL PPG-2 HYDROXYETHYL COCO/ISOSTEARAMIDE GLYCERIN STARCH, CORN SODIUM LAURETH SULFATE POTASSIUM HYDROXIDE MAGNESIUM ALUMINUM SILICATE COCO GLUCOSIDE CARNAUBA WAX RESVERATROL JOJOBA OIL, RANDOMIZED NIACINAMIDE SUCROSE PALMITATE .ALPHA.-TOCOPHEROL ACETATE HYPROMELLOSE, UNSPECIFIED POWDERED CELLULOSE HYDROXYPROPYL .ALPHA.-CYCLODEXTRIN LACTOSE, UNSPECIFIED FORM CITRIC ACID MONOHYDRATE SODIUM CHLORIDE GLYCERYL MONOLINOLEATE DIETHYLENE GLYCOL MONOETHYL ETHER METHYL DIHYDROJASMONATE (SYNTHETIC) ETHYLENE BRASSYLATE TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES ETHYL LINALOOL 2-ISOBUTYL-4-METHYLTETRAHYDROPYRAN-4-OL 3-(3,4-METHYLENEDIOXYPHENYL)-2-METHYLPROPANAL PHENYLISOHEXANOL TRIMETHYLBENZENEPROPANOL METHYL BENZODIOXEPINONE EDETATE DISODIUM IODOPROPYNYL BUTYLCARBAMATE MAGNESIUM CHLORIDE MAGNESIUM NITRATE METHYLISOTHIAZOLINONE METHYLCHLOROISOTHIAZOLINONE TALC D&C RED NO. 7 D&C RED NO. 30 ULTRAMARINE BLUE TITANIUM DIOXIDE TimeWise Age Minimize 3D Night Cream (Normal to Dry Skin) WATER DIMETHICONE GLYCERIN ALUMINUM STARCH OCTENYLSUCCINATE MEDIUM-CHAIN TRIGLYCERIDES CETOSTEARYL ALCOHOL GLYCERYL MONOSTEARATE CETEARETH-33 NIACINAMIDE AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER RESVERATROL SODIUM ACRYLOYLDIMETHYLTAURATE-ACRYLAMIDE COPOLYMER (1:1; 90000-150000 MPA.S) ISOHEXADECANE BUTYLENE GLYCOL GLYCYRRHIZINATE DIPOTASSIUM JOJOBA OIL, RANDOMIZED .ALPHA.-TOCOPHEROL ACETATE ISOPROPYL PALMITATE SUCROSE PALMITATE DIMETHICONOL (100000 CST) CYCLOMETHICONE 5 CYCLOMETHICONE 6 POLYSORBATE 80 HYDROXYPROPYL .ALPHA.-CYCLODEXTRIN GLYCERYL MONOLINOLEATE DIETHYLENE GLYCOL MONOETHYL ETHER METHYL DIHYDROJASMONATE (SYNTHETIC) ETHYLENE BRASSYLATE TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES ETHYL LINALOOL 2-ISOBUTYL-4-METHYLTETRAHYDROPYRAN-4-OL 3-(3,4-METHYLENEDIOXYPHENYL)-2-METHYLPROPANAL PHENYLISOHEXANOL TRIMETHYLBENZENEPROPANOL METHYL BENZODIOXEPINONE TROLAMINE EDETATE DISODIUM HYDROXYACETOPHENONE ETHYLHEXYLGLYCERIN PHENOXYETHANOL IODOPROPYNYL BUTYLCARBAMATE TimeWise Age Minimize 3D Eye Cream WATER CETYL ALCOHOL GLYCERIN ALKYL (C12-15) BENZOATE STEARIC ACID GLYCERYL MONOSTEARATE PEG-100 STEARATE 1,2-HEXANEDIOL NIACINAMIDE FUCUS VESICULOSUS PANTHENOL RESVERATROL .ALPHA.-TOCOPHEROL ACETATE GLYCYRRHIZINATE DIPOTASSIUM XANTHAN GUM HEXYLENE GLYCOL DIMETHICONE POLY(METHYL METHACRYLATE; 450000 MW) TRICAPRYLIN ETHYLHEXYL PALMITATE SILICON DIOXIDE HYDROXYPROPYL .ALPHA.-CYCLODEXTRIN TROLAMINE EDETATE DISODIUM BENZYL ALCOHOL CAPRYLYL GLYCOL IODOPROPYNYL BUTYLCARBAMATE MICA TITANIUM DIOXIDE']",,['Mary Kay TimeWise Miracle Set 3D Sampler (Normal to Dry Skin)'],,2020-08-17,2020,0
20201215,"['Mucus Relief Maximum Strength Guaifenesin GUAIFENESIN GUAIFENESIN SILICON DIOXIDE MAGNESIUM STEARATE CARBOMER 934 CELLULOSE, MICROCRYSTALLINE POVIDONE FD&C BLUE NO. 1 HYPROMELLOSE, UNSPECIFIED LACTOSE MONOHYDRATE TALC AN037']","['Mucus Relief Maximum Strength Guaifenesin GUAIFENESIN GUAIFENESIN SILICON DIOXIDE MAGNESIUM STEARATE CARBOMER 934 CELLULOSE, MICROCRYSTALLINE POVIDONE FD&C BLUE NO. 1 HYPROMELLOSE, UNSPECIFIED LACTOSE MONOHYDRATE TALC AN037']",['ORAL'],['Mucus Relief Maximum Strength'],['GUAIFENESIN'],2020-12-15,2020,1
20200611,"['Jet Lag Rx Arnica montana, Cinchona officinalis, Cocculus indicus, Coffea cruda, Tabacum ANAMIRTA COCCULUS SEED ANAMIRTA COCCULUS SEED ARABICA COFFEE BEAN ARABICA COFFEE BEAN MALTODEXTRIN RICE BRAN TOBACCO LEAF TOBACCO LEAF CARNAUBA WAX DEXTROSE CINCHONA OFFICINALIS BARK CINCHONA OFFICINALIS BARK ARNICA MONTANA ARNICA MONTANA Off-white G Lavender']","['Jet Lag Rx Arnica montana, Cinchona officinalis, Cocculus indicus, Coffea cruda, Tabacum ANAMIRTA COCCULUS SEED ANAMIRTA COCCULUS SEED ARABICA COFFEE BEAN ARABICA COFFEE BEAN MALTODEXTRIN RICE BRAN TOBACCO LEAF TOBACCO LEAF CARNAUBA WAX DEXTROSE CINCHONA OFFICINALIS BARK CINCHONA OFFICINALIS BARK ARNICA MONTANA ARNICA MONTANA Off-white G Lavender']",['ORAL'],['Jet Lag Rx'],"['ANAMIRTA COCCULUS SEED', 'ARABICA COFFEE BEAN', 'TOBACCO LEAF', 'CINCHONA OFFICINALIS BARK', 'ARNICA MONTANA']",2020-06-11,2020,5
